filename,image_url,result
Gambar9.jpg,http://minio:9000/lionparcel/Gambar9.jpg,blur
Gambar8.jpg,http://minio:9000/lionparcel/Gambar8.jpg,"The image shows a quiet neighborhood street in daylight, lined with small buildings and homes. On the left, a red pickup truck is parked near a cluttered roadside area with bags or debris, while utility poles and overhead wires run along the road. In the center, a person rides a motorcycle toward the camera on the lightly trafficked street. On the right, a beige multi-story building with balconies and a dark metal gate sits close to the road, and more houses and greenery are visible in the distance under a partly cloudy sky."
Gambar3.jpg,http://minio:9000/lionparcel/Gambar3.jpg,"The image shows a quiet, overcast street in a small town or neighborhood, with a paved road stretching into the distance and low buildings lining both sides. On the left foreground are dark concrete structures with a balcony and exposed utility lines overhead, while puddles and patches of grass sit along the roadside. A single motorbike is parked near the center-left, and farther down the road a few shopfronts and signs appear, giving the scene a subdued, early-morning or post-rain atmosphere under a cloudy sky."
Gambar11.jpg,http://minio:9000/lionparcel/Gambar11.jpg,"The image shows a nighttime street scene along a roadside area with a bright streetlight illuminating the road and nearby trees overhead. On the left, a glowing blue sign marks a small roadside establishment with people sitting and gathering under a lit canopy or tent, while the foreground includes a patch of grass and a narrow path leading toward the road. On the right, cars and a large vehicle are traveling along the street, their lights reflecting off the pavement, and low buildings line the roadside in the background."
Gambar10.jpg,http://minio:9000/lionparcel/Gambar10.jpg,"The image shows a quiet street at night illuminated by a very bright overhead streetlight that creates a glowing halo and highlights the wet, reflective road surface. Trees line the left side with branches hanging into the frame, and several parked scooters and small vehicles sit along the roadside. Farther down the street, a few small shops or stalls emit warm light, while dimmer streetlights and shadows recede into the distance, giving the scene a calm, slightly misty nighttime atmosphere."
Gambar2.jpg,http://minio:9000/lionparcel/Gambar2.jpg,"The image shows a quiet, narrow paved road running through a small residential neighborhood, lined with simple houses and low buildings on both sides. Utility poles and overhead wires stretch along the street, with a streetlight near the foreground, while patches of grass and rough concrete edges border the road. On the left are unfinished or open-front structures and a small colorful building farther down, and on the right are a fenced property and a small house with a weathered wall. Trees and greenery, including banana plants, frame the scene, and the road leads toward a vanishing point under a cloudy, pale sky."
Gambar1.jpg,http://minio:9000/lionparcel/Gambar1.jpg,"A dimly lit street at night stretches into the distance after rain, with wet pavement reflecting the glow of bright shop lights on the right. A row of small storefronts with shutters and signage sits under an overhang, and a motorcycle is parked near the curb. Large leafy trees line the road, their branches hanging over the street, while the left side fades into darker buildings and fences. Farther down, bright lights and a few indistinct figures or vehicles create a hazy focal point at the end of the quiet, empty-looking lane."
Gambar5.jpg,http://minio:9000/lionparcel/Gambar5.jpg,"The image shows a narrow, dimly lit alley at night lined with closely packed buildings on both sides, illuminated by a series of overhead lights. The wet, uneven roadway is scattered with debris and small patches of green growth, reflecting the lights in puddles. On the right, a person sits on a motorcycle with a bright red taillight glowing, while farther down the alley a few more motorbikes and figures appear near a brighter, busier area at the far end, giving the scene a gritty, rain-soaked atmosphere."
Gambar4.jpg,http://minio:9000/lionparcel/Gambar4.jpg,blur
Gambar6.jpg,http://minio:9000/lionparcel/Gambar6.jpg,blur
Gambar7.jpg,http://minio:9000/lionparcel/Gambar7.jpg,"A quiet residential lane at night is lit by streetlights and the glow from nearby homes, with leafy trees and flowering plants lining the left side in pots and along a fence. The road stretches into the distance toward a brighter cluster of lights, while a scooter is parked on the right near a small building. Two cats are visible on the street, one closer to the camera and another farther down the lane, adding to the calm, lived-in atmosphere."
